,0
947,2.5
948,3.4
949,2.2
950,2.7
951,3.2
952,3.7
953,2.1
954,3.0
955,2.8
956,2.5
957,2.5
958,2.9
959,3.1
960,3.3
961,3.7
962,2.6
963,2.9
964,2.9
965,2.9
966,2.6
967,2.3
968,3.1
969,3.2
970,3.0
971,2.0
972,3.5
973,3.2
974,3.7
975,2.3
976,2.3
977,2.5
978,2.2
979,3.8
980,2.8
981,2.8
982,2.3
983,2.2
984,3.0
985,2.6
986,2.6
987,2.1
988,2.7
989,2.3
990,2.8
991,2.6
992,2.8
993,2.7
994,2.6
995,2.4
996,2.8
997,2.3
998,2.6
999,3.1
1000,2.6
1001,2.8
1002,2.9
1003,3.0
1004,3.0
1005,3.2
1006,2.3
1007,3.2
1008,2.7
1009,3.1
1010,2.9
1011,3.6
1012,2.5
1013,2.7
1014,2.6
1015,2.6
1016,2.6
1017,3.0
1018,3.5
1019,3.3
1020,2.6
1021,2.2
1022,4.1
1023,2.7
1024,2.6
1025,2.8
1026,3.5
1027,3.0
1028,3.0
1029,2.5
1030,2.5
1031,2.7
1032,2.9
1033,2.5
1034,3.0
1035,2.7
1036,2.9
1037,3.1
1038,2.5
1039,2.2
1040,3.3
1041,2.6
1042,2.1
1043,2.6
1044,2.1
1045,3.8
1046,3.2
1047,2.5
1048,2.9
1049,2.6
1050,2.7
1051,3.1
1052,3.0
1053,2.7
1054,2.5
1055,2.6
1056,2.5
1057,2.7
1058,3.4
1059,3.2
1060,2.7
1061,2.7
1062,2.8
1063,2.4
1064,2.4
1065,2.9
1066,3.1
1067,2.0
1068,2.2
1069,3.2
1070,2.8
1071,3.1
1072,2.5
1073,2.7
1074,2.2
1075,3.0
1076,3.2
1077,2.7
1078,3.0
1079,3.3
1080,2.5
1081,2.6
1082,3.1
1083,2.9
1084,2.7
1085,2.3
1086,3.2
1087,2.3
1088,2.1
1089,2.2
1090,2.4
1091,3.0
1092,3.4
1093,3.0
1094,3.2
1095,3.4
1096,2.2
1097,1.6
1098,2.1
1099,2.1
1100,3.5
1101,2.4
1102,2.4
1103,2.8
1104,3.0
1105,2.9
1106,2.7
1107,2.8
1108,2.4
1109,2.8
1110,2.8
1111,2.3
1112,2.5
1113,2.6
1114,2.2
1115,2.9
1116,2.4
1117,2.1
1118,3.3
1119,2.7
1120,2.6
1121,2.6
1122,2.5
1123,2.5
1124,2.9
1125,2.5
1126,3.0
1127,3.1
1128,2.4
1129,3.3
1130,2.9
1131,2.8
1132,2.3
1133,3.0
1134,2.8
1135,2.6
1136,2.2
1137,3.5
1138,2.1
1139,2.5
1140,3.4
1141,2.9
1142,2.3
1143,2.3
1144,2.5
1145,2.5
1146,2.7
1147,2.7
1148,2.8
1149,2.5
1150,2.5
1151,2.5
1152,2.5
1153,2.7
1154,2.5
1155,2.5
1156,3.1
1157,2.1
1158,2.6
1159,2.8
1160,2.8
1161,2.9
1162,2.9
1163,2.9
1164,2.8
1165,2.9
1166,3.0
1167,2.7
1168,2.6
1169,2.5
1170,3.4
1171,2.3
1172,3.1
1173,2.6
1174,2.5
1175,3.0
1176,2.9
1177,2.5
1178,2.7
1179,2.5
1180,2.6
1181,2.7
1182,3.1
1183,3.1
1184,3.1
1185,2.5
1186,3.4
1187,2.9
1188,2.5
1189,2.8
1190,3.1
1191,3.3
1192,2.6
1193,2.8
1194,2.7
1195,3.3
1196,2.5
1197,2.5
1198,2.8
1199,2.8
1200,3.0
1201,2.7
1202,2.8
1203,2.7
1204,2.6
1205,2.6
1206,3.1
1207,2.6
1208,2.8
1209,3.0
1210,3.1
1211,3.9
1212,2.8
1213,2.5
1214,2.8
1215,2.5
1216,3.0
1217,2.8
1218,3.3
1219,2.7
1220,2.5
1221,2.5
1222,2.7
1223,2.6
1224,3.0
1225,3.0
1226,2.6
1227,2.7
1228,3.2
1229,2.7
1230,2.7
1231,2.5
1232,2.4
1233,3.1
1234,2.8
1235,3.2
1236,3.1
1237,2.5
1238,2.6
1239,2.9
1240,2.7
1241,2.7
1242,2.7
1243,3.4
1244,3.5
1245,2.6
1246,3.0
1247,3.3
1248,2.5
1249,4.2
1250,3.3
1251,3.3
1252,3.3
1253,3.9
1254,2.9
1255,2.6
1256,3.4
1257,4.1
1258,2.7
1259,2.6
1260,2.8
1261,2.5
1262,2.7
1263,3.2
1264,2.5
1265,2.6
1266,2.6
1267,2.5
1268,2.9
1269,3.0
1270,2.7
1271,2.9
1272,2.6
1273,2.1
1274,3.0
1275,2.6
1276,3.2
1277,2.6
1278,3.3
1279,2.5
1280,3.0
1281,2.9
1282,2.5
1283,2.7
1284,2.8
1285,2.1
1286,3.3
1287,3.1
1288,3.1
1289,2.8
1290,2.9
1291,3.5
1292,2.7
1293,2.7
1294,3.1
1295,3.0
1296,2.6
1297,2.7
1298,3.1
1299,2.8
1300,2.2
1301,2.7
1302,2.7
1303,2.8
1304,3.0
1305,3.8
1306,2.5
1307,3.0
1308,3.8
1309,2.7
1310,2.6
1311,3.1
1312,2.8
1313,3.4
1314,3.0
1315,2.5
1316,2.5
1317,4.2
1318,2.6
1319,2.5
1320,3.1
1321,2.6
1322,2.9
1323,2.8
1324,2.6
1325,2.3
1326,2.8
1327,2.8
1328,3.2
1329,2.7
1330,2.7
1331,2.8
1332,2.9
1333,2.7
1334,2.3
1335,2.6
1336,3.0
1337,2.4
1338,2.8
1339,3.2
1340,2.8
1341,3.2
1342,2.7
1343,2.6
1344,4.0
1345,3.2
1346,3.4
1347,3.5
1348,2.7
1349,2.9
1350,2.8
1351,3.1
1352,3.7
1353,2.7
1354,3.1
1355,2.7
1356,2.6
1357,2.7
1358,2.5
1359,3.0
1360,2.5
1361,2.6
1362,2.5
1363,3.0
1364,3.6
1365,2.7
1366,2.8
1367,3.3
1368,2.9
1369,2.6
1370,2.9
1371,2.8
1372,2.5
1373,2.2
1374,2.6
1375,3.4
1376,2.9
1377,2.9
1378,3.5
1379,3.1
1380,2.6
1381,2.5
1382,2.5
1383,2.6
1384,2.8
1385,2.6
1386,2.7
1387,2.8
1388,3.6
1389,2.4
1390,2.5
1391,1.8
1392,2.9
1393,2.7
1394,2.6
1395,3.8
1396,2.9
1397,2.8
1398,3.7
1399,3.0
1400,3.3
1401,2.5
1402,2.5
1403,2.6
1404,3.2
1405,2.5
1406,2.9
1407,2.8
1408,3.3
1409,2.7
1410,2.5
1411,2.8
1412,2.6
1413,3.1
1414,3.2
1415,2.6
1416,2.6
1417,2.5
1418,3.2
1419,2.8
1420,2.5
1421,3.0
1422,2.7
1423,2.6
1424,2.5
1425,3.0
1426,2.9
1427,2.8
1428,2.6
1429,2.8
1430,3.2
1431,2.6
1432,2.9
1433,2.5
1434,2.8
1435,2.9
1436,2.7
1437,2.5
1438,2.5
1439,2.5
1440,2.6
1441,2.6
1442,2.9
1443,2.7
1444,2.5
1445,2.7
1446,2.5
1447,2.7
1448,2.6
1449,2.5
1450,2.6
1451,3.1
1452,3.0
1453,2.5
1454,2.6
1455,3.4
1456,3.1
1457,2.1
1458,2.5
1459,2.8
1460,2.6
1461,3.4
1462,2.6
1463,3.1
1464,3.2
1465,2.6
1466,3.0
1467,3.2
1468,2.9
1469,3.6
1470,2.6
1471,2.6
1472,2.8
1473,2.5
1474,2.6
1475,2.5
1476,2.8
1477,2.9
1478,3.2
1479,2.6
1480,2.7
1481,2.7
1482,2.6
1483,3.2
1484,2.5
1485,3.2
1486,3.0
1487,2.5
1488,3.5
1489,2.5
1490,2.5
1491,2.9
1492,2.6
1493,2.7
1494,2.8
1495,2.7
1496,2.8
1497,3.9
1498,2.7
1499,2.7
1500,3.0
1501,2.7
1502,3.0
1503,3.0
1504,2.8
1505,2.7
1506,2.9
1507,2.3
1508,2.8
1509,2.8
1510,2.8
1511,3.3
1512,2.7
1513,2.8
1514,2.6
1515,3.1
1516,3.3
1517,2.6
1518,2.9
1519,2.7
1520,2.6
1521,3.4
1522,2.7
1523,2.5
1524,3.0
1525,2.6
1526,2.6
1527,2.6
1528,2.5
1529,3.1
1530,2.5
1531,3.1
1532,2.5
1533,2.8
1534,3.2
1535,2.8
1536,2.7
1537,2.6
1538,3.2
1539,2.5
1540,2.5
1541,3.0
1542,2.9
1543,3.2
1544,3.0
1545,2.7
1546,2.5
1547,3.2
1548,2.7
1549,3.3
1550,3.4
1551,2.5
1552,3.1
1553,2.6
1554,2.2
1555,2.6
1556,2.5
1557,2.1
1558,2.5
1559,2.5
1560,3.0
1561,2.8
1562,3.5
1563,2.5
1564,2.5
1565,2.9
1566,2.7
1567,2.8
1568,2.7
1569,2.4
1570,3.0
1571,2.6
1572,2.5
1573,2.7
1574,2.5
1575,2.6
1576,2.5
1577,2.6
1578,2.5
1579,2.6
1580,2.2
1581,2.8
1582,2.9
1583,2.6
1584,2.8
1585,2.9
1586,2.9
1587,2.7
1588,1.8
1589,2.7
1590,2.6
1591,2.8
1592,2.5
1593,3.4
1594,3.3
1595,3.1
1596,3.7
1597,2.3
1598,2.8
1599,3.1
1600,2.7
1601,3.6
1602,2.8
1603,2.5
1604,3.2
1605,3.2
1606,3.1
1607,2.7
1608,2.8
1609,2.8
1610,2.6
1611,2.9
1612,2.6
1613,2.5
1614,2.3
1615,2.5
1616,2.7
1617,2.6
1618,2.4
1619,2.6
1620,2.7
1621,2.6
1622,2.6
1623,2.5
1624,2.3
1625,2.8
1626,2.6
1627,2.6
1628,2.5
1629,2.5
1630,3.1
1631,2.7
1632,3.1
1633,2.7
1634,2.0
1635,2.6
1636,2.6
1637,2.5
1638,2.7
1639,2.3
1640,2.5
1641,2.7
1642,2.3
1643,2.5
1644,2.7
1645,2.5
1646,3.3
1647,3.0
1648,3.0
1649,2.8
1650,3.5
1651,4.3
1652,3.3
1653,2.8
1654,2.5
1655,2.8
1656,2.7
1657,2.7
1658,2.7
1659,2.6
1660,3.0
1661,2.5
1662,2.6
1663,2.5
1664,2.2
1665,2.6
1666,3.4
1667,2.6
1668,3.0
1669,4.1
1670,3.2
1671,3.1
1672,2.6
1673,2.5
1674,3.0
1675,2.6
1676,3.2
1677,3.6
1678,3.2
1679,2.3
1680,2.7
1681,2.7
1682,2.4
1683,2.5
1684,2.5
1685,2.5
1686,2.9
1687,3.1
1688,3.3
1689,2.5
1690,2.5
1691,2.9
1692,2.6
1693,3.9
1694,3.0
1695,2.6
1696,2.5
1697,2.9
1698,2.4
1699,2.7
1700,2.5
1701,2.7
1702,3.2
1703,2.8
1704,3.3
1705,3.4
1706,2.9
1707,2.9
1708,2.8
1709,2.6
1710,3.0
1711,2.8
1712,3.2
1713,3.0
1714,2.5
1715,2.7
1716,3.3
1717,2.7
1718,3.6
1719,3.5
1720,3.1
1721,3.3
1722,2.9
1723,3.2
1724,3.0
1725,2.8
1726,3.2
1727,2.5
1728,2.6
1729,3.7
1730,2.5
1731,3.5
1732,2.7
1733,3.3
1734,2.8
1735,3.6
1736,3.1
1737,3.7
1738,3.0
1739,2.9
1740,3.0
1741,2.7
1742,3.0
1743,3.2
1744,2.5
1745,2.6
1746,2.6
1747,2.5
1748,2.9
1749,2.5
1750,3.0
1751,3.2
1752,2.8
1753,3.1
1754,2.5
1755,2.7
1756,2.8
1757,2.7
1758,2.6
1759,2.8
1760,2.6
1761,2.7
1762,2.5
1763,2.3
1764,2.5
1765,3.1
1766,3.0
1767,2.5
1768,3.2
1769,3.0
1770,2.6
1771,2.8
1772,3.2
1773,3.0
1774,2.6
1775,3.3
1776,3.3
1777,3.1
1778,2.8
1779,2.5
1780,2.7
1781,2.8
1782,3.0
1783,3.2
1784,2.5
1785,2.1
1786,2.6
1787,2.5
1788,2.5
1789,2.6
1790,3.2
1791,2.5
1792,2.8
1793,2.8
1794,2.9
1795,2.9
1796,2.9
1797,2.5
1798,2.7
1799,2.5
1800,2.5
1801,2.6
1802,2.6
1803,2.9
1804,3.4
1805,2.8
1806,2.6
1807,2.5
1808,3.2
1809,2.9
1810,4.0
1811,3.1
1812,2.5
1813,2.6
1814,2.6
1815,2.6
1816,2.9
1817,2.7
1818,2.8
1819,2.6
1820,2.8
1821,2.9
1822,2.7
1823,2.5
1824,2.8
1825,3.0
1826,2.5
1827,2.5
1828,3.9
1829,2.7
1830,2.7
1831,2.5
1832,3.3
1833,2.5
1834,2.5
1835,2.5
1836,3.5
1837,3.9
1838,3.0
1839,2.7
1840,2.7
1841,2.6
1842,2.5
1843,2.8
1844,2.8
1845,2.7
1846,2.5
1847,2.8
1848,2.6
1849,2.6
1850,2.7
1851,2.3
1852,2.6
1853,2.7
1854,2.5
1855,2.7
1856,2.4
1857,2.7
1858,3.0
1859,2.9
1860,3.3
1861,2.5
1862,2.7
1863,2.6
1864,2.1
1865,1.89
1866,2.9
1867,2.4
1868,2.9
1869,2.4
1870,2.6
1871,2.4
1872,2.6
1873,2.6
1874,2.6
1875,3.3
1876,2.5
1877,3.1
1878,2.9
1879,2.9
1880,3.4
1881,2.19
1882,2.8
1883,2.9
1884,3.2
1885,3.0
1886,3.3
1887,4.3
1888,2.7
1889,2.3
1890,3.3
1891,2.6
1892,3.3
1893,2.4
1894,2.6
1895,3.2
1896,2.1
1897,2.9
1898,3.2
1899,2.8
1900,3.2
1901,2.5
1902,2.6
1903,3.1
1904,3.2
1905,3.1
1906,2.7
1907,2.4
1908,2.2
1909,2.4
1910,2.5
1911,2.7
1912,2.7
1913,2.3
1914,3.2
1915,3.0
1916,3.1
1917,2.7
1918,2.7
1919,2.6
1920,2.8
1921,3.3
1922,3.2
1923,2.7
1924,2.7
1925,2.8
1926,2.5
1927,2.7
1928,2.8
1929,2.7
1930,3.3
1931,2.8
1932,2.7
1933,2.6
1934,2.7
1935,3.0
1936,3.0
1937,3.2
1938,2.4
1939,3.3
1940,3.3
1941,3.0
1942,3.0
1943,2.7
1944,2.7
1945,2.5
1946,2.8
1947,2.8
1948,3.3
1949,3.3
1950,2.7
1951,2.7
1952,2.5
1953,2.5
1954,2.1
1955,2.6
1956,2.6
1957,3.0
1958,2.5
1959,2.4
1960,2.4
1961,3.3
1962,2.0
1963,2.7
1964,2.5
1965,3.2
1966,2.8
1967,2.5
1968,2.7
1969,2.5
1970,2.9
1971,2.5
1972,3.4
1973,2.2
1974,2.3
1975,2.9
1976,3.4
1977,3.2
1978,2.7
1979,2.6
1980,2.9
1981,2.28
1982,3.1
1983,3.1
1984,2.6
1985,2.9
1986,3.7
1987,3.5
1988,2.6
1989,2.5
1990,2.6
1991,2.5
1992,3.4
1993,2.6
1994,2.5
1995,2.7
1996,4.4
1997,2.9
1998,2.5
1999,2.5
2000,2.7
2001,2.7
2002,3.1
2003,2.7
2004,3.3
2005,2.7
2006,3.0
2007,3.0
2008,2.5
2009,2.4
2010,2.8
2011,2.6
2012,2.7
2013,2.8
2014,2.7
2015,2.6
2016,2.36
2017,2.4
2018,2.6
2019,2.6
2020,2.7
2021,2.6
2022,2.8
2023,2.7
2024,3.1
2025,2.4
2026,3.0
2027,3.3
2028,1.61
2029,2.7
2030,2.9
2031,2.3
2032,2.8
2033,2.9
2034,2.6
2035,3.3
2036,2.6
2037,2.5
2038,2.5
2039,3.1
2040,3.0
2041,3.2
2042,2.7
2043,2.4
2044,3.1
2045,3.0
2046,2.5
2047,3.2
2048,2.5
2049,3.4
2050,3.4
2051,3.2
2052,2.3
2053,2.6
2054,3.1
2055,3.0
2056,3.0
2057,2.6
2058,3.2
2059,2.7
2060,3.3
2061,3.4
2062,2.7
2063,2.8
2064,2.7
2065,3.4
2066,3.0
2067,3.3
2068,2.6
2069,2.5
2070,2.5
2071,2.6
2072,2.7
2073,2.9
2074,2.6
2075,2.8
2076,3.4
2077,2.5
2078,2.7
2079,2.7
2080,2.8
2081,2.6
2082,3.1
2083,3.9
2084,3.6
2085,2.7
2086,2.7
2087,3.5
2088,3.4
2089,3.0
2090,2.6
2091,3.0
2092,2.8
2093,3.3
2094,2.8
2095,2.6
2096,2.8
2097,2.6
2098,2.5
2099,2.7
2100,2.01
2101,2.5
2102,1.61
2103,2.6
2104,1.77
2105,2.21
2106,2.6
2107,2.5
2108,1.82
2109,3.7
2110,2.5
2111,2.6
2112,2.06
2113,2.5
2114,1.89
2115,2.5
2116,3.4
2117,3.2
2118,3.0
2119,2.8
2120,3.3
2121,3.5
2122,2.8
2123,2.7
2124,3.1
2125,2.6
2126,3.1
2127,2.5
2128,3.1
2129,2.5
2130,3.9
2131,3.2
2132,2.6
2133,2.7
2134,2.1
2135,1.68
2136,2.43
2137,3.0
2138,2.6
2139,1.72
2140,2.5
